unit_id,unit_level,pref_name,unit_code,n_geoms
aza:Aomori:02201026003,aza,Aomori,02201026003,9038
aza:Aomori:02201026004,aza,Aomori,02201026004,9038
aza:Aomori:02201026005,aza,Aomori,02201026005,9038
aza:Aomori:02201027000,aza,Aomori,02201027000,9038
aza:Aomori:02201027001,aza,Aomori,02201027001,9038
aza:Aomori:02201027002,aza,Aomori,02201027002,9038
aza:Aomori:02201027003,aza,Aomori,02201027003,9038
aza:Aomori:02201027004,aza,Aomori,02201027004,9038
aza:Aomori:02201027005,aza,Aomori,02201027005,9038
aza:Aomori:02201027006,aza,Aomori,02201027006,9038
aza:Aomori:02201027008,aza,Aomori,02201027008,9038
aza:Aomori:02201027009,aza,Aomori,02201027009,9038
aza:Aomori:02201028001,aza,Aomori,02201028001,9038
aza:Aomori:02201028002,aza,Aomori,02201028002,9038
aza:Aomori:02201029001,aza,Aomori,02201029001,9038
aza:Aomori:02201029002,aza,Aomori,02201029002,9038
aza:Aomori:02201029003,aza,Aomori,02201029003,9038
aza:Aomori:02201030001,aza,Aomori,02201030001,9038
aza:Aomori:02201030002,aza,Aomori,02201030002,9038
aza:Aomori:02201030003,aza,Aomori,02201030003,9038
aza:Aomori:02201030004,aza,Aomori,02201030004,9038
aza:Aomori:02201031001,aza,Aomori,02201031001,9038
aza:Aomori:02201031002,aza,Aomori,02201031002,9038
aza:Aomori:02201031003,aza,Aomori,02201031003,9038
aza:Aomori:02201032001,aza,Aomori,02201032001,9038
aza:Aomori:02201032002,aza,Aomori,02201032002,9038
aza:Aomori:02201033001,aza,Aomori,02201033001,9038
aza:Aomori:02201033002,aza,Aomori,02201033002,9038
aza:Aomori:022010340,aza,Aomori,022010340,9038
aza:Aomori:02201035001,aza,Aomori,02201035001,9038
aza:Aomori:02201035002,aza,Aomori,02201035002,9038
aza:Aomori:02201035003,aza,Aomori,02201035003,9038
aza:Aomori:02201035004,aza,Aomori,02201035004,9038
aza:Aomori:02201035005,aza,Aomori,02201035005,9038
aza:Aomori:02201036001,aza,Aomori,02201036001,9038
aza:Aomori:02201036002,aza,Aomori,02201036002,9038
aza:Aomori:02201036003,aza,Aomori,02201036003,9038
aza:Aomori:02201036004,aza,Aomori,02201036004,9038
aza:Aomori:02201037001,aza,Aomori,02201037001,9038
aza:Aomori:02201037002,aza,Aomori,02201037002,9038
aza:Aomori:02201038001,aza,Aomori,02201038001,9038
aza:Aomori:02201038002,aza,Aomori,02201038002,9038
aza:Aomori:02201039001,aza,Aomori,02201039001,9038
aza:Aomori:02201039002,aza,Aomori,02201039002,9038
aza:Aomori:02201039003,aza,Aomori,02201039003,9038
aza:Aomori:02201040001,aza,Aomori,02201040001,9038
aza:Aomori:02201040002,aza,Aomori,02201040002,9038
aza:Aomori:02201041001,aza,Aomori,02201041001,9038
aza:Aomori:02201041002,aza,Aomori,02201041002,9038
aza:Aomori:02201041003,aza,Aomori,02201041003,9038
aza:Aomori:02201042101,aza,Aomori,02201042101,9038
aza:Aomori:02201042102,aza,Aomori,02201042102,9038
aza:Aomori:02201042103,aza,Aomori,02201042103,9038
aza:Aomori:02201042104,aza,Aomori,02201042104,9038
aza:Aomori:022010423,aza,Aomori,022010423,9038
aza:Aomori:02201043001,aza,Aomori,02201043001,9038
aza:Aomori:02201043002,aza,Aomori,02201043002,9038
aza:Aomori:02201043003,aza,Aomori,02201043003,9038
aza:Aomori:022010440,aza,Aomori,022010440,9038
aza:Aomori:02201045001,aza,Aomori,02201045001,9038
aza:Aomori:02201045002,aza,Aomori,02201045002,9038
aza:Aomori:02201046001,aza,Aomori,02201046001,9038
aza:Aomori:02201046002,aza,Aomori,02201046002,9038
aza:Aomori:02201047001,aza,Aomori,02201047001,9038
aza:Aomori:02201047002,aza,Aomori,02201047002,9038
aza:Aomori:02201048001,aza,Aomori,02201048001,9038
aza:Aomori:02201048002,aza,Aomori,02201048002,9038
aza:Aomori:02201049001,aza,Aomori,02201049001,9038
aza:Aomori:02201049002,aza,Aomori,02201049002,9038
aza:Aomori:02201049003,aza,Aomori,02201049003,9038
aza:Aomori:02201050001,aza,Aomori,02201050001,9038
aza:Aomori:02201050002,aza,Aomori,02201050002,9038
aza:Aomori:02201050003,aza,Aomori,02201050003,9038
aza:Aomori:02201051001,aza,Aomori,02201051001,9038
aza:Aomori:02201051002,aza,Aomori,02201051002,9038
aza:Aomori:02201051003,aza,Aomori,02201051003,9038
aza:Aomori:02201052001,aza,Aomori,02201052001,9038
aza:Aomori:02201052002,aza,Aomori,02201052002,9038
aza:Aomori:02201053101,aza,Aomori,02201053101,9038
aza:Aomori:02201053102,aza,Aomori,02201053102,9038
aza:Aomori:02201053103,aza,Aomori,02201053103,9038
aza:Aomori:02201053201,aza,Aomori,02201053201,9038
aza:Aomori:02201053202,aza,Aomori,02201053202,9038
aza:Aomori:02201053203,aza,Aomori,02201053203,9038
aza:Aomori:02201053301,aza,Aomori,02201053301,9038
aza:Aomori:02201053302,aza,Aomori,02201053302,9038
aza:Aomori:02201053303,aza,Aomori,02201053303,9038
aza:Aomori:02201054001,aza,Aomori,02201054001,9038
aza:Aomori:02201054002,aza,Aomori,02201054002,9038
aza:Aomori:02201055101,aza,Aomori,02201055101,9038
aza:Aomori:02201055102,aza,Aomori,02201055102,9038
aza:Aomori:02201055103,aza,Aomori,02201055103,9038
aza:Aomori:02201055104,aza,Aomori,02201055104,9038
aza:Aomori:02201055105,aza,Aomori,02201055105,9038
aza:Aomori:02201055106,aza,Aomori,02201055106,9038
aza:Aomori:02201056001,aza,Aomori,02201056001,9038
