,B2,B3,B4,B8,B11,NDVI,NDBI,MNDWI,viirs_mean,S2_NDBI_contrast,S2_NDBI_entropy,S2_NDBI_homogeneity,osm_built_area,osm_building_count,osm_built_ratio,elevation_mean,elevation_std,slope_mean,slope_std,aspect_sin_mean,aspect_cos_mean,tri_mean,dw_water_frac,dw_trees_frac,dw_grass_frac,dw_flooded_vegetation_frac,dw_crops_frac,dw_shrub_and_scrub_frac,dw_built_frac,dw_bare_frac,dw_snow_and_ice_frac,pop_total,pop_male,pop_female,households_total,age_u15,age_15_64,age_65_plus,age_75_plus,year,month_num
S2_NDBI_entropy,0.046667898367566,0.0576555572855949,0.05799798526207239,0.1207617567429565,0.15097478971142667,0.13029685618491993,-0.0749217483092644,-0.05599202011198262,-0.14545639352863332,-0.4048477821035602,1.0,-0.5786964400828825,0.10067109323940131,0.08350299239467203,-0.17895474977410167,0.1583841587044514,0.20363102603501107,-0.012458626769118826,0.04890870849433442,0.02639815691597996,0.020010460823589333,0.16449126432832198,0.038739387430081214,0.23312314483928456,0.1576595351127911,0.1356962944151245,0.13543996555457302,0.16618776139391905,-0.2908465277256273,0.05807879656802229,-0.020465670821086464,0.08627663223183221,0.08690417082714176,0.08527511359474912,0.06793274663415474,0.06109065251496119,0.07404677343717075,0.10543876036847606,0.10821136000668545,0.4887867065743691,0.02152348662770122
S2_NDBI_homogeneity,-0.0012155849414457979,-0.01183487169837399,-0.01245212971450962,-0.07627604571148572,-0.16239974133567392,-0.15871649047419492,0.04076610316111133,0.10980885259269071,-0.15693945068258316,-0.32779216910761244,-0.5786964400828825,1.0,0.0628444834042678,0.04981613532156813,-0.2386569218619854,0.21380613121972958,0.2578668547397632,0.019978928320596466,0.027515021901582445,0.022034089804560737,-0.0009644186418834045,0.24579332358762365,0.04133571185179046,0.2885233052447202,0.18083432264368876,0.12596008615668014,0.10441836595016764,0.22180723089427165,-0.3369001943394551,0.014702079808799109,0.045760661116090735,0.043353015810457446,0.04390885328628637,0.042974928342058454,0.01836019119408139,0.02254677186888109,0.03173686414293644,0.08216708203308616,0.08637854433892807,-0.4313430636859268,-0.0292520631190122
osm_built_area,0.004291911845127209,0.005450442433210041,0.004611274231491978,0.019359763760471205,0.011237737496014356,0.033639384290271884,-0.018460818319044177,-0.013521194542502482,0.037910064618360516,-0.10453645723156806,0.10067109323940131,0.0628444834042678,1.0,0.9244907582162587,0.15680517287336118,0.07488799878742484,0.14910704257875923,-0.09910586339532383,0.06348014081933111,0.06470144621153953,0.08889678809146075,0.011160595784460657,0.02385311272497445,-0.008971207026876808,-0.044886219901858794,-0.014772650971760446,-0.05103145858585325,-0.04343254928119395,0.033244397801504774,0.04590604193897947,0.025710387580613538,0.5803179672505981,0.5834121596643954,0.5756911810032871,0.5711744157223424,0.5044811239529491,0.5517614299504929,0.6113865774640702,0.6174199491994632,2.169737971068044e-15,8.233230848475146e-17
osm_building_count,0.003951770093779854,0.005156770053556366,0.004156127419136077,0.020857490966115267,0.012425382780142965,0.03863346445494717,-0.02080082998479607,-0.016120897664604766,0.03364509241080527,-0.07923966959199114,0.08350299239467203,0.04981613532156813,0.9244907582162587,1.0,0.1868651693700229,0.06840873345761322,0.13689389987077552,-0.11054395517226251,0.044651665572165114,0.07967721386708651,0.10276947677241702,0.012861613448960318,0.007569234314148821,-0.01634446338514665,-0.07022779095948406,-0.028391368499966988,-0.06701084620123815,-0.0677530705273313,0.05703290839958138,-0.004913113958797996,0.01753641670206351,0.5992536689858148,0.59283017814778,0.6020275579787334,0.5803566508933283,0.5163395375729095,0.5613590385436755,0.6348819706201503,0.6353103950737671,1.455830180816746e-14,1.248673187151958e-15
osm_built_ratio,0.009536112191291392,0.01082869009546369,0.01153822565089518,0.013525754678325364,0.02620536902368372,0.012300086656253597,0.003072410581981742,-0.01575119602513833,0.4292846973497866,0.44937793008078436,-0.17895474977410167,-0.2386569218619854,0.15680517287336118,0.1868651693700229,1.0,-0.209620714301346,-0.25873661907022055,-0.02317637321059024,-0.03424044189937985,-0.02029966521794606,0.003741258021468805,-0.31579804051433,-0.09785255391946417,-0.451367018866114,-0.5190432909827546,-0.3718434584629067,-0.39525364647012495,-0.5571288294012657,0.6890942638934917,-0.06008180328195841,-0.06704065234494068,0.15616131622519816,0.15111790060561064,0.1581948230372364,0.20491704225626042,0.14072942670316274,0.1560076779771887,0.09829436591362936,0.0937973460185496,9.225322352919234e-15,1.0805204634262721e-16
elevation_mean,0.07064529988383028,0.08276566269809356,0.08507545474302432,0.13025279500032086,0.15340835628704086,0.10313255929738557,-0.04804897788959575,-0.0639014110801584,-0.19468301495218318,-0.3315898864364125,0.1583841587044514,0.21380613121972958,0.07488799878742484,0.06840873345761322,-0.209620714301346,1.0,0.8302354962042747,0.08060828313125178,0.1618154981013112,-0.044929438714125816,-0.06860370596453108,0.6814968517560236,-0.16306654426038034,0.5621899939696215,-0.028894873215945274,-0.18089311365400781,-0.1879645494178764,0.16532456581067265,-0.3788044831535341,-0.1850625099382067,0.4196223638596285,0.0027772358036262813,0.004005137689970521,0.0025356254710903947,-0.021960015500955804,-0.032108969390093334,-0.02086698680287935,0.06945449111485567,0.08310233019613014,-6.09482132334999e-15,-1.132679517120615e-15
elevation_std,0.013784581050630487,0.015621048055420366,0.015844556647978972,0.02301599982828397,0.015384291470753332,0.01012550723577074,-0.010565605092650572,0.0009721149063066925,-0.19981961665859005,-0.3937672094200187,0.20363102603501107,0.2578668547397632,0.14910704257875923,0.13689389987077552,-0.25873661907022055,0.8302354962042747,1.0,0.01691537992978305,0.17176829613702044,0.06649052020435209,0.022131943257171167,0.7325110983088636,-0.09450050074566231,0.633600707116601,-0.00538507239097312,-0.13174397939503008,-0.18016726551314569,0.2102323536087664,-0.43317464376204606,-0.14126678731934597,0.17068138751497802,0.09221073856253059,0.09265760184729104,0.09264621086020527,0.06228170005108813,0.03226234444295644,0.05987277750380416,0.17492142903409533,0.18989526543612215,9.998862841416414e-15,3.3552718794604145e-16
slope_mean,0.19549012878553865,0.21630692525710846,0.2342746297681795,0.17081632509194172,0.3075806151058816,-0.16351069724255737,0.13109507481795893,0.02524217438526304,-0.1340348322703872,-0.003917142414417837,-0.012458626769118826,0.019978928320596466,-0.09910586339532383,-0.11054395517226251,-0.02317637321059024,0.08060828313125178,0.01691537992978305,1.0,-0.009276997194320027,-0.7643964360950425,-0.9506618394295199,0.13707577539294513,0.005816621041363244,0.1278969578251452,0.06559408306479927,-0.010996541238546476,0.021797475931449338,0.1192098784240348,-0.13894029117665477,0.011899085461000955,0.05264658445373878,-0.12225717631947061,-0.11515964787902347,-0.12740108466194464,-0.11978964180011005,-0.09159730155705663,-0.11421461321534558,-0.11928911013207506,-0.11669051585123179,3.665447646055392e-15,-2.977493010112098e-16
slope_std,0.003952355211066985,0.004587706741034008,0.004667831212578299,0.0075231505288704485,0.008958159689017293,0.00687000882975499,-0.003723396160030461,-0.0043440759954128496,-0.032227585764058916,-0.06264090074755256,0.04890870849433442,0.027515021901582445,0.06348014081933111,0.044651665572165114,-0.03424044189937985,0.1618154981013112,0.17176829613702044,-0.009276997194320027,1.0,0.0250769848752926,0.01746957251713286,0.11992670288421482,0.01725174206056571,0.08362720370149311,-0.020703101735388578,-0.016029533129290667,-0.02299474531127959,0.007774972473141639,-0.06314725367773624,-0.011828853041916547,0.07923843665528667,0.02442611744842772,0.024872330996904286,0.025549839978059683,0.01950500895283277,0.010160229972793602,0.017069070574830748,0.05092310623250592,0.054847030775300495,-6.122093617173664e-16,-8.106567420485163e-17
aspect_sin_mean,-0.17806111418515191,-0.19980547312950042,-0.21328572938016402,-0.203229464833905,-0.3173478803122321,0.03440277643082992,-0.052566102730265823,0.029981858955660582,0.046574576198089225,-0.04725753889687312,0.02639815691597996,0.022034089804560737,0.06470144621153953,0.07967721386708651,-0.02029966521794606,-0.044929438714125816,0.06649052020435209,-0.7643964360950425,0.0250769848752926,1.0,0.926701629175782,0.016328246407609385,0.008904293991879036,0.03483534258087084,-0.05553819481409024,-0.01802887738864946,-0.06806214650622126,-0.029259604331556215,0.035269889162745455,-0.04417860650591024,-0.19230772957173245,0.06215768198648402,0.0580881062158225,0.06647758961776114,0.06420768516460798,0.034957698874199965,0.050902281172832596,0.0755841173244809,0.0758709772061643,-3.728506125242486e-14,-4.546999518319549e-15
aspect_cos_mean,-0.19998874186231502,-0.222632271758304,-0.23961634974182797,-0.1978143507882488,-0.3326649914442094,0.11182088787624762,-0.10174907331350348,-0.00017459291391808097,0.10053213102773237,-0.020573565682616334,0.020010460823589333,-0.0009644186418834045,0.08889678809146075,0.10276947677241702,0.003741258021468805,-0.06860370596453108,0.022131943257171167,-0.9506618394295199,0.01746957251713286,0.926701629175782,1.0,-0.07204031981631578,0.0008943149134458866,-0.05778495270308772,-0.06495510001015449,-0.0022652103189291953,-0.04545385034761651,-0.08356150219008843,0.0979537662845469,-0.028192633944136576,-0.12321844096404184,0.1012177657720685,0.09512462512152269,0.10628974885453799,0.10078065725611962,0.07040922089527084,0.09117143081083708,0.1059086583193435,0.10452810273275666,4.166230956154908e-14,3.2744299514791453e-16
tri_mean,0.023209997465042213,0.025186772808503087,0.02773601312726585,0.014962391684291317,0.03499752155632793,-0.02680825392699677,0.020870769159134637,0.004953264008497727,-0.23829930329736598,-0.3941492775721945,0.16449126432832198,0.24579332358762365,0.011160595784460657,0.012861613448960318,-0.31579804051433,0.6814968517560236,0.7325110983088636,0.13707577539294513,0.11992670288421482,0.016328246407609385,-0.07204031981631578,1.0,-0.1606374012628508,0.8761025440787176,-0.031089532862159496,-0.24969160797460122,-0.3272614343022224,0.3443777037732779,-0.539178958434306,-0.24176652094774706,-0.006297315910471533,-0.07905253726118253,-0.07640113693321955,-0.07931462032945225,-0.0868227135140056,-0.0913910518145403,-0.09119123949890307,-0.002789620626317719,0.010818996261552263,-4.639348267436473e-14,-3.4837039036141977e-15
dw_water_frac,-0.011801898934370468,-0.015023348760229528,-0.014956107383667408,-0.03429771889698947,-0.0499156874238756,-0.0530029860088813,0.016631861974539704,0.03720499722103425,-0.04126541457679299,-0.06188754771014803,0.038739387430081214,0.04133571185179046,0.02385311272497445,0.007569234314148821,-0.09785255391946417,-0.16306654426038034,-0.09450050074566231,0.005816621041363244,0.01725174206056571,0.008904293991879036,0.0008943149134458866,-0.1606374012628508,1.0,-0.15010577409582226,0.14624995168392246,0.4050761732593568,0.2173184555191116,0.056318110738396675,-0.15989810569135451,0.30111008464184874,-0.12691117026693122,-0.01073371630959183,-0.010379179613161772,-0.011130395199589499,-0.020135179025409497,-0.024301946285380786,-0.01619034405085747,0.007228532986716103,0.012096793061470159,-9.459730716592884e-15,-3.0985855845261747e-16
dw_trees_frac,0.005677451574826953,0.004485740504671526,0.006381063600858109,-0.019203145368676174,-0.012106125577024179,-0.06038132772198093,0.034116279254539,0.029011308487995047,-0.34298067959153433,-0.5086813004457154,0.23312314483928456,0.2885233052447202,-0.008971207026876808,-0.01634446338514665,-0.451367018866114,0.5621899939696215,0.633600707116601,0.1278969578251452,0.08362720370149311,0.03483534258087084,-0.05778495270308772,0.8761025440787176,-0.15010577409582226,1.0,0.12766924334314908,-0.11588831069557706,-0.1939145177293708,0.48222886669968645,-0.722724625834264,-0.2173955423837944,-0.13200588857206833,-0.10039761660104334,-0.09627101523451963,-0.10142858255564423,-0.11576044681096956,-0.10602559078551105,-0.10895145850723888,-0.014507050632680664,0.00029213519593544203,-1.4626829707398237e-14,5.348729213672522e-16
dw_grass_frac,0.02340026011432815,0.026793766808595562,0.027929513582721888,0.033465583991728595,0.032219409727955395,0.004347692085818567,-0.007952495011822155,0.00037858980653710634,-0.3381567604743971,-0.37077389889676404,0.1576595351127911,0.18083432264368876,-0.044886219901858794,-0.07022779095948406,-0.5190432909827546,-0.028894873215945274,-0.00538507239097312,0.06559408306479927,-0.020703101735388578,-0.05553819481409024,-0.06495510001015449,-0.031089532862159496,0.14624995168392246,0.12766924334314908,1.0,0.6288762982116692,0.6639694521939741,0.7272191149701802,-0.659558553969172,0.2708933778178202,0.1748386898676067,-0.15187280171133918,-0.14728407316792422,-0.154333951231285,-0.1991606927074739,-0.1430307764500398,-0.15644349495331086,-0.09573142906648179,-0.08600271844670783,4.6430837357962244e-14,2.6982794017244123e-15
dw_flooded_vegetation_frac,0.008425104848395207,0.00918368848444459,0.008706571506719355,0.015271361053623587,-0.012905154865372201,-0.0033752815152450493,-0.018813779249868812,0.021156388409594797,-0.2519166908153566,-0.266182020315396,0.1356962944151245,0.12596008615668014,-0.014772650971760446,-0.028391368499966988,-0.3718434584629067,-0.18089311365400781,-0.13174397939503008,-0.010996541238546476,-0.016029533129290667,-0.01802887738864946,-0.0022652103189291953,-0.24969160797460122,0.4050761732593568,-0.11588831069557706,0.6288762982116692,1.0,0.7905495704158382,0.41745398767717123,-0.49197416824248197,0.4127549252031776,0.06724837331725102,-0.11007461412725775,-0.10859414819356437,-0.1108339868124427,-0.14820961056859644,-0.11646507591975337,-0.11839872254388449,-0.07098705311925792,-0.06386493259361989,-8.763388999160162e-15,-3.367747256633236e-16
dw_crops_frac,0.03200545142483642,0.03718931568671319,0.03710939142376452,0.06241299217408942,0.03529703432427323,0.034933253767986186,-0.04115610058311365,0.0017174281058341592,-0.28100830173789304,-0.25411439601081826,0.13543996555457302,0.10441836595016764,-0.05103145858585325,-0.06701084620123815,-0.39525364647012495,-0.1879645494178764,-0.18016726551314569,0.021797475931449338,-0.02299474531127959,-0.06806214650622126,-0.04545385034761651,-0.3272614343022224,0.2173184555191116,-0.1939145177293708,0.6639694521939741,0.7905495704158382,1.0,0.33373888677601843,-0.4900779713425435,0.3827321207570695,0.1430500747593115,-0.13323992334231852,-0.13171481251928488,-0.13365863383659266,-0.17901038441687886,-0.13230306207795944,-0.14060183218052782,-0.09977038137716303,-0.09325631478081563,6.736591354630745e-15,-7.730323952061252e-16
dw_shrub_and_scrub_frac,0.01205917364071093,0.012814590341408853,0.0162963275343382,-0.010175651576954037,0.03883002217884994,-0.04240896715449982,0.04594406449401033,-0.008689805558334512,-0.4073927568037226,-0.41499354678389994,0.16618776139391905,0.22180723089427165,-0.04343254928119395,-0.0677530705273313,-0.5571288294012657,0.16532456581067265,0.2102323536087664,0.1192098784240348,0.007774972473141639,-0.029259604331556215,-0.08356150219008843,0.3443777037732779,0.056318110738396675,0.48222886669968645,0.7272191149701802,0.41745398767717123,0.33373888677601843,1.0,-0.7596942516459525,0.30010792277668524,0.12783524403868765,-0.1676343127162362,-0.16145282329748215,-0.1700870571252424,-0.19957831742389984,-0.14457039524424603,-0.16528306339612428,-0.08947847343646582,-0.0774566548125528,4.094064762216565e-14,2.9536097576185346e-15
dw_built_frac,-0.031018549031285026,-0.0342697530246809,-0.03652558822468581,-0.03037021208156963,-0.031154173914436502,0.025270358103231107,-0.006774481931666087,-0.01606610018181076,0.4976766146514428,0.6313264673609994,-0.2908465277256273,-0.3369001943394551,0.033244397801504774,0.05703290839958138,0.6890942638934917,-0.3788044831535341,-0.43317464376204606,-0.13894029117665477,-0.06314725367773624,0.035269889162745455,0.0979537662845469,-0.539178958434306,-0.15989810569135451,-0.722724625834264,-0.659558553969172,-0.49197416824248197,-0.4900779713425435,-0.7596942516459525,1.0,-0.15828450306441294,-0.08265611847332388,0.17894165099863746,0.17350907406785687,0.18040198402617036,0.22045041642928745,0.1758379475674276,0.18654049473660886,0.08001541476336922,0.06283731086294138,-3.766602977044364e-14,-2.8773474448230575e-15
