unit_id,pref_name,B4_mean,B4_std,B8_mean,B8_std,B11_mean,B11_std,NDVI_mean,NDVI_std,NDBI_mean,NDBI_std,MNDWI_mean,MNDWI_std,viirs_mean_mean,viirs_mean_std,S2_NDBI_contrast_mean,S2_NDBI_contrast_std,S2_NDBI_entropy_mean,S2_NDBI_entropy_std,dw_bare_frac_mean,dw_bare_frac_std,NDVI_slope,NDBI_slope,MNDWI_slope,viirs_mean_slope,dw_bare_frac_slope,NDVI_seasonal_amp,NDBI_seasonal_amp,MNDWI_seasonal_amp,pop_total,age_u15,age_65_plus,osm_built_area,osm_built_ratio,elevation_mean,elevation_std,slope_mean,slope_std,aspect_sin_mean,aspect_cos_mean,tri_mean,dw_water_frac,dw_trees_frac,dw_grass_frac,dw_flooded_vegetation_frac,dw_crops_frac,dw_shrub_and_scrub_frac,dw_built_frac,elderly_ratio,aging_index,youth_ratio,household_size,shrinkage_class,shrinkage_code
aza:Akita:05201002005,Akita,0.11521876406379182,0.20749426762593917,0.0009108725966103204,0.042230463545341775,-0.04679176875732122,-0.24378100407075506,-0.44625312828450586,-0.39314890201008196,0.2264584550912465,-0.27265950178716447,0.6233358677260268,-0.34634325240340136,1.1236772042219079,3.005675482650585,0.36696024655400517,0.3163961834960155,-0.08401798794383099,0.053979143994886396,0.17636733925836676,0.0723234519575088,0.1488821940346625,0.11008260646414011,-0.29974129602030153,-4.469741681701892,-1.404215346679974,-0.3033729381998004,-0.0054477345888996505,-0.018885804634515953,0.7559344703104974,1.0260738229010438,0.04599666804757494,0.26137300193475105,0.9893783704925929,-0.42322605325265894,-0.17945005230106706,0.0,0.0,0.0,0.0,-0.16968538215043247,0.30329074386284016,-0.19958089549318564,-0.5272202767893901,-0.3582971074637549,-0.2198577536875281,-0.6973405199281472,0.6327087814584164,-1.830093224656918,-0.8978596131257094,1.109909460952248,-1.3720483642979535,stable,0
aza:Akita:05201002006,Akita,0.11056116942738824,0.20197977342387638,-0.0019234208777480248,0.03737339231807687,-0.04960925810040287,-0.25290703144123855,-0.44278899432365293,-0.3908596405747969,0.22193256902811404,-0.28454667583220206,0.6217250232095015,-0.3495576079933308,0.8651907884996374,1.597357430220255,0.34979992005859745,0.3050998807582958,0.1798985679413307,0.05970526465768064,-0.539390899363204,0.10285341515730612,0.15107889675719532,0.10787939650963696,-0.2991096152559679,-2.984766518839834,-1.208125403628251,-0.3023391783134123,-0.013273364933237951,-0.021285422322545235,1.3609682200926079,1.1058415266790942,1.1167624076969602,0.7089066612980726,1.9671016834227044,-0.39697907583670056,-0.1338262072478406,0.0,0.0,0.0,0.0,-0.20521700014697775,-0.31326866984173324,-0.208910975603746,-0.614723821968996,-0.39607927390216485,-0.3006209141397607,-0.7785883776950843,0.714880407450831,-1.2006921269740676,-0.17865441448871716,-0.6030758373536438,-1.4334189895591922,stable,0
aza:Akita:05201002007,Akita,0.12419415493527564,0.21767830537748437,0.014418224170109663,0.05149729360342601,-0.03835798727594902,-0.2251353042201663,-0.44138388166560594,-0.3870294805832919,0.2231932023249359,-0.25908377869571614,0.6175941085883927,-0.33526940020823626,1.2184650115074094,3.4581849342253888,0.6646312973196868,0.8888606094371047,-1.1167570097327917,-0.801604506541849,-0.01691929574567107,0.4990825351994745,0.15687748046201933,0.10991013295760076,-0.30503600909357104,-3.87376150169593,-1.2863265425937884,-0.29899047415685004,0.01116592408646806,-0.005980742051266578,0.864454664710267,0.3084535802708191,0.6524165569407627,0.40733903803540905,2.0032057177973375,-0.41940588815965457,-0.18409523797223967,0.0,0.0,0.0,0.0,-0.22172672746303,-0.14098192810358062,-0.20551286116501663,-0.6402622880817146,-0.3799309799712625,-0.3067319350765636,-0.7366834395028992,0.7051816643509452,-0.9904268721264631,0.6116930745549212,-1.0526397268664374,-1.6517293327183962,stable,0
aza:Akita:05201003001,Akita,0.09833313750839306,0.18982902904730847,-0.04529867812951474,0.02540326231685925,-0.07019012888680112,-0.2806619552432567,-0.48494167881011085,-0.43129373021213113,0.2632316412894099,-0.27306255688914555,0.656803588966284,-0.37903459555859326,1.898978622968638,4.68338713338488,0.8736343461714526,1.1925248711115528,-0.29834091490368825,-0.3089932348947275,2.8357202919599054,2.658574178615577,0.10222671839738548,0.12170509534029442,-0.27912393773996474,-6.975024314385509,-0.6351200610579463,-0.3277493352584992,-0.040480426265035306,-0.06405962439882461,0.7080591662573126,0.569323441926607,0.6613058520242537,0.4077904652985896,2.0110288665919915,-0.41077134295800394,0.023370338766123912,0.0,0.0,0.0,0.0,0.443131865645663,0.9613470708100352,-0.2181101428595786,-0.6818190518342845,-0.2655777937372585,-0.29939837102043604,-0.7066446413015173,0.6163665913467775,-0.4736565244304434,0.020040577275068305,-0.3050395958744019,-0.9196840410682913,stable,0
aza:Akita:05201003002,Akita,0.11069582415618047,0.20342970252885612,-0.02197527419812266,0.03794720935744766,-0.05696443127462117,-0.2547618060125712,-0.47169744234030686,-0.41698580674151847,0.2519344599503085,-0.2603956457154557,0.6438732765894474,-0.36135633397399103,1.9064477057859572,4.9079750424166475,0.9831186015410533,1.3528171576070747,-0.5100066115118792,-0.2343817741019519,2.7998315503476467,1.7977552400902588,0.12031616510844552,0.11895108289716545,-0.28882725614764665,-6.281615509735716,-1.7834791287500733,-0.31818790365357846,-0.016813865555811134,-0.04175538134602267,-0.27486001669961263,-1.2090619551221675,-1.6106589231192352,0.6122709451601236,2.6744933794587595,-0.3347114944931846,0.15297019178161733,0.0,0.0,0.0,0.0,0.9157188700680754,1.018953299567188,-0.2179901142717702,-0.6687222912329693,-0.28856171575751843,-0.2915552976171798,-0.7210799791780157,0.6282498790741666,-2.300707226125258,-0.08517245341903956,-1.5581384661129263,-2.18201410673868,stable,0
aza:Akita:05201003003,Akita,0.09887166619236074,0.1906080164913294,-0.046803877259483165,0.026038265659208106,-0.07054209273901195,-0.2797339707304715,-0.48793958604999693,-0.433865980321619,0.2664351357274268,-0.26946793124477186,0.6590019814686103,-0.37969642928331304,1.9013508325604878,4.515077029900168,0.8519354230558287,1.1434850060077653,-0.11132341034677362,-0.14191243645124024,1.7653355269842195,2.5834553075858846,0.09919402354562949,0.12294579185507776,-0.2782509900170313,-7.029783180202818,-0.3638818763576587,-0.32929489102306636,-0.03995356605334293,-0.06563361091622703,1.0318044062049299,0.8387566283357886,1.033763531172853,0.38946383612568997,1.8529618455579673,-0.4413647563957124,-0.0788395337253509,0.0,0.0,0.0,0.0,0.2180029006062145,0.7638452021269213,-0.21165977451869863,-0.6629817037576077,-0.2234029151651551,-0.31619254974837446,-0.6771556072850715,0.6543390392713241,-0.44424701116694654,0.16070274230007475,-0.4515431041584019,-1.4102224390498466,stable,0
aza:Akita:05201003004,Akita,0.11196613082435135,0.20499842905123455,-0.021947303463684675,0.039315047649680905,-0.05647254654862553,-0.2522614307968745,-0.4737122655823268,-0.41852379429077796,0.25427166431148107,-0.256227795115503,0.6451424693527423,-0.36088915355485573,1.8919977263456635,4.767757436646316,0.6757066567389366,0.79848344645992,-0.021860779906423874,-0.06691643975209507,1.885671231157609,2.065459135445192,0.11855524551710334,0.11994697830589292,-0.2885903758610215,-6.202962105383602,-1.2764633358774142,-0.31904880532945584,-0.014846920765492698,-0.04184485861574611,0.6317446280142212,-0.14984241079058233,0.9476197167084509,0.5531298527874671,2.229730086800098,-0.39710870952589344,0.0013207118597175751,0.0,0.0,0.0,0.0,0.4415862554357148,0.5036063527705271,-0.21974221300518948,-0.6988493774668482,-0.30417759496932234,-0.3048097133134083,-0.8368579855330897,0.6758048751108159,1.1278263214846955,4.795209127491932,-1.2930598589470848,-0.8166320222825638,severely_shrinking,2
aza:Akita:05201003005,Akita,0.09998012615307066,0.1920529158747568,-0.04769857533233893,0.02727037168055166,-0.07045879678214804,-0.277656132143813,-0.490988629531345,-0.4363762828378563,0.2697968527305484,-0.2647061028653791,0.6611202717364332,-0.3798149893588233,1.8132736058298797,4.348819111157408,0.6059837423373351,0.6911581415266946,0.11035981996904112,0.019729109557073656,1.4372654838601,2.176532302460866,0.09626805109334889,0.1243144525843903,-0.2775798292049267,-4.9837213795327076,0.16192097692714144,-0.3307557123707165,-0.038415134235200855,-0.06665446522079546,1.1905244797549048,1.0175035499965894,1.0753685267380408,0.5555954539334075,1.9117860999012901,-0.44862726565097605,-0.10458675838430978,0.0,0.0,0.0,0.0,0.10162823530547146,0.3463257028290114,-0.2163453623580075,-0.659998914782638,-0.34757375882059205,-0.31248661958846397,-0.698969070074572,0.6976639157993901,-0.8455769460733339,-0.09956779765887722,-0.41906144651655114,-1.3901138462738778,stable,0
aza:Akita:05201003006,Akita,0.1128349869828582,0.20615953254397706,-0.02302836560994943,0.04030058920050642,-0.05654297451700077,-0.25060743980060934,-0.47665846384940946,-0.4209573707378575,0.25749550276274136,-0.25202418906084656,0.6472177022884203,-0.3611814496218395,1.741199737438094,4.185866342714851,0.14497943606378413,-0.00709168400780506,0.11881135271099053,0.34317383886412045,1.2029538369122028,1.3956470304642932,0.11572710193100852,0.12122662045118512,-0.2878928950170696,-4.826638294247841,-0.07996242587917574,-0.3205164054304592,-0.01369485310259193,-0.043028398865265396,1.140967282196539,0.8501575892094178,1.2497357007429182,0.6017320599248098,2.042750655029588,-0.4418950157222341,-0.1224748628761407,0.0,0.0,0.0,0.0,0.01935269529812408,0.14360086712538117,-0.2204605697094946,-0.6893361497192508,-0.38683139838823366,-0.30693080802550454,-0.8194279581783739,0.6973796906668827,-0.11901650952511973,0.6151343858041751,-0.6561885071052191,-0.7392620714233729,shrinking,1
aza:Akita:05201003007,Akita,0.12048965457619829,0.2142830026879834,-0.0038465074433214927,0.04794671036818222,-0.04654451899262043,-0.23409498598489234,-0.46163281345101836,-0.4059915168759331,0.24343995332930435,-0.2498065537169467,0.6339387674984717,-0.34738968359212596,1.838775068793926,6.865954439800472,0.858043431771634,1.220250771256301,0.00312866349902817,-0.056579754759992655,2.467964242141882,1.632350394990791,0.13414560937378409,0.11694260109520677,-0.29633285189608427,-6.951275269185517,-1.8417190160277106,-0.3108092306284412,0.0019423579804395271,-0.024307313750012924,0.7169422177617253,0.8271425530939033,0.12944134014439435,0.5596906790076562,1.5602017758452298,-0.4107278265402566,0.06463589785684581,0.0,0.0,0.0,0.0,0.2588733887985066,0.14692866640641417,-0.22038471376462093,-0.6797025554144268,-0.360511863739461,-0.27695616773991744,-0.6675914549021633,0.6626873400072186,-1.6655942612618757,-0.7780176033469967,0.4472603250391036,-1.1815637969929886,stable,0
