,model,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,cohen_kappa,matthews_corrcoef
35,Dummy (Stratified),0.3355431576970038,0.33550913838120106,0.33539267138266865,0.3353671551065945,0.3354090737284361,0.33550913838120106,0.0032212376710962776,0.0032218739684116457
36,Dummy (Stratified),0.3359167031810138,0.3355263157894737,0.33546876096238276,0.335471281771545,0.33619615298677086,0.3355263157894737,0.003841362126245751,0.0038457515817672365
37,Dummy (Stratified),0.349529564269815,0.35017064846416385,0.35078389510539415,0.34982125471955355,0.3518549782250608,0.35017064846416385,0.025359738750455163,0.025376249592427652
38,Dummy (Stratified),0.3317653766293907,0.33109919571045576,0.3306497269887444,0.3309232604986771,0.3310201302308362,0.33109919571045576,-0.0027381393312906344,-0.0027416417519567473
39,Dummy (Stratified),0.33010042038399007,0.33078526754690757,0.3315368769869469,0.32999266686013673,0.333259201103507,0.33078526754690757,-0.0036946205282126776,-0.0037000284844017346
40,Dummy (Stratified),0.3355431576970038,0.33550913838120106,0.33539267138266865,0.3353671551065945,0.3354090737284361,0.33550913838120106,0.0032212376710962776,0.0032218739684116457
41,Dummy (Stratified),0.3355520551313593,0.33529796987557303,0.3355028006778339,0.3352448821210728,0.33665877627747304,0.33529796987557303,0.003619974079674071,0.0036249680872430068
42,Dummy (Stratified),0.32675966346084645,0.3271857923497268,0.3275617696628312,0.3268702962674364,0.32833069061371856,0.3271857923497268,-0.009130911859548396,-0.009136308203266776
43,Dummy (Stratified),0.326717198035593,0.3263795423956931,0.3263834433335056,0.32640617965295604,0.32712696002927116,0.3263795423956931,-0.009906340913642842,-0.009917619583381575
44,Dummy (Stratified),0.33010042038399007,0.33078526754690757,0.3315368769869469,0.32999266686013673,0.333259201103507,0.33078526754690757,-0.0036946205282126776,-0.0037000284844017346
45,Dummy (Stratified),0.3355431576970038,0.33550913838120106,0.33539267138266865,0.3353671551065945,0.3354090737284361,0.33550913838120106,0.0032212376710962776,0.0032218739684116457
46,Dummy (Stratified),0.3355520551313593,0.33529796987557303,0.3355028006778339,0.3352448821210728,0.33665877627747304,0.33529796987557303,0.003619974079674071,0.0036249680872430068
47,Dummy (Stratified),0.3374975036563344,0.3381344307270233,0.3385951800166545,0.33771651155335697,0.3394156533194543,0.3381344307270233,0.007284303750668464,0.007288067986689481
48,Dummy (Stratified),0.34005430360641714,0.339572192513369,0.33949745552784955,0.3395771258292212,0.3403400324872966,0.339572192513369,0.009983569476065157,0.009997236829748663
49,Dummy (Stratified),0.3272484986779615,0.32822299651567943,0.3291144394467743,0.32729203508930604,0.33093257942055027,0.32822299651567943,-0.0075735173080873075,-0.007584283894783207
50,Logistic Regression,0.9183046867662252,0.9184073107049608,0.9190854375632588,0.918687649244906,0.9208074383198604,0.9184073107049608,0.8776252264572343,0.878144332387206
51,Logistic Regression,0.9190115218971964,0.9190789473684211,0.9189989036826876,0.9183226892336799,0.9200751541104535,0.9190789473684211,0.8786237270617931,0.8791836570716743
52,Logistic Regression,0.9103908505440818,0.910580204778157,0.9113563613388452,0.9123063176998918,0.9139248983830611,0.910580204778157,0.865586916935145,0.8665112167502513
53,Logistic Regression,0.9082837956602479,0.9088471849865952,0.9099235488176465,0.9103410595344861,0.9144247733237753,0.9088471849865952,0.8630518266550582,0.8646995815771716
54,Logistic Regression,0.9019329935375099,0.9034051424600417,0.904069619027218,0.9050985203434703,0.9075598204038018,0.9034051424600417,0.8543398172010984,0.8556681798777857
55,Logistic Regression,0.9183046867662252,0.9184073107049608,0.9190854375632588,0.918687649244906,0.9208074383198604,0.9184073107049608,0.8776252264572343,0.878144332387206
56,Logistic Regression,0.9190115218971964,0.9190789473684211,0.9189989036826876,0.9183226892336799,0.9200751541104535,0.9190789473684211,0.8786237270617931,0.8791836570716743
57,Logistic Regression,0.9131465500174732,0.9133105802047782,0.9140346525323011,0.914963097162055,0.9164030509537933,0.9133105802047782,0.8696987078072923,0.8705464790233368
58,Logistic Regression,0.9103425811419569,0.910857908847185,0.911873479862964,0.9123024478759453,0.9160017991384207,0.910857908847185,0.8660783461516658,0.8675734542072547
59,Logistic Regression,0.9019329935375099,0.9034051424600417,0.904069619027218,0.9050985203434703,0.9075598204038018,0.9034051424600417,0.8543398172010984,0.8556681798777857
60,Logistic Regression,0.9183046867662252,0.9184073107049608,0.9190854375632588,0.918687649244906,0.9208074383198604,0.9184073107049608,0.8776252264572343,0.878144332387206
61,Logistic Regression,0.9190115218971964,0.9190789473684211,0.9189989036826876,0.9183226892336799,0.9200751541104535,0.9190789473684211,0.8786237270617931,0.8791836570716743
62,Logistic Regression,0.9131465500174732,0.9133105802047782,0.9140346525323011,0.914963097162055,0.9164030509537933,0.9133105802047782,0.8696987078072923,0.8705464790233368
63,Logistic Regression,0.9103425811419569,0.910857908847185,0.911873479862964,0.9123024478759453,0.9160017991384207,0.910857908847185,0.8660783461516658,0.8675734542072547
64,Logistic Regression,0.9019329935375099,0.9034051424600417,0.904069619027218,0.9050985203434703,0.9075598204038018,0.9034051424600417,0.8543398172010984,0.8556681798777857
65,Logistic Regression,0.9183046867662252,0.9184073107049608,0.9190854375632588,0.918687649244906,0.9208074383198604,0.9184073107049608,0.8776252264572343,0.878144332387206
66,Logistic Regression,0.9235837997607144,0.9233791748526523,0.923367672162647,0.9228175866848538,0.9242636336031362,0.9233791748526523,0.8850643259955765,0.8854990213008023
67,Logistic Regression,0.9120579637722859,0.912568306010929,0.9135377296695805,0.9144181548579772,0.917480802086335,0.912568306010929,0.8685507132515516,0.8700961368285806
68,Logistic Regression,0.9099692349097611,0.9104979811574697,0.9114686547873002,0.9118074246364068,0.9155591338413208,0.9104979811574697,0.8655650013808227,0.8670708708430485
69,Logistic Regression,0.9019329935375099,0.9034051424600417,0.904069619027218,0.9050985203434703,0.9075598204038018,0.9034051424600417,0.8543398172010984,0.8556681798777857
70,Logistic Regression,0.9183046867662252,0.9184073107049608,0.9190854375632588,0.918687649244906,0.9208074383198604,0.9184073107049608,0.8776252264572343,0.878144332387206
71,Logistic Regression,0.9235837997607144,0.9233791748526523,0.923367672162647,0.9228175866848538,0.9242636336031362,0.9233791748526523,0.8850643259955765,0.8854990213008023
72,Logistic Regression,0.911790494766951,0.9122085048010974,0.9131787895257946,0.9140133849797655,0.9169545299496352,0.9122085048010974,0.8680440362301932,0.8694966594011374
73,Logistic Regression,0.9106453357239767,0.911096256684492,0.9120069789193413,0.9124822249323504,0.9155292760392048,0.911096256684492,0.8664421997755332,0.8677052285251339
74,Logistic Regression,0.8995447212050444,0.9010452961672474,0.9018118695171576,0.9028842404003014,0.9055833045038235,0.9010452961672474,0.8507643047141401,0.8521929143662316
75,SVM (Linear),0.9251323377477223,0.9255874673629243,0.9254210164107204,0.9251108833111736,0.9253705923451833,0.9255874673629243,0.8883396202288856,0.8883964416826988
76,SVM (Linear),0.9051856329336229,0.905921052631579,0.9060879867892383,0.9047774183364624,0.9074958336448365,0.905921052631579,0.8588835334690655,0.8594878557039152
77,SVM (Linear),0.9220038837157657,0.922184300341297,0.9228760277185865,0.9237191690949581,0.9251402075712744,0.922184300341297,0.8830476107777429,0.883842324540035
78,SVM (Linear),0.9325040114412005,0.9323056300268097,0.9321367503087064,0.9321529146513661,0.9321138819809903,0.9323056300268097,0.8984215063939878,0.8984923738984261
79,SVM (Linear),0.8977559611698368,0.8978457261987491,0.8984297606287889,0.9000990446928459,0.9004341057585842,0.8978457261987491,0.8460887540081622,0.8467133285462815
80,SVM (Linear),0.9251323377477223,0.9255874673629243,0.9254210164107204,0.9251108833111736,0.9253705923451833,0.9255874673629243,0.8883396202288856,0.8883964416826988
81,SVM (Linear),0.9051856329336229,0.905921052631579,0.9060879867892383,0.9047774183364624,0.9074958336448365,0.905921052631579,0.8588835334690655,0.8594878557039152
82,SVM (Linear),0.889537569269066,0.8901023890784983,0.891432678493168,0.8925218568737286,0.8965893103914946,0.8901023890784983,0.8346995942916292,0.8366816820377784
83,SVM (Linear),0.9441094675451961,0.9443699731903485,0.9445423412028903,0.944700673376042,0.9451248992930411,0.9443699731903485,0.916472579201513,0.9166662935258003
84,SVM (Linear),0.8977559611698368,0.8978457261987491,0.8984297606287889,0.9000990446928459,0.9004341057585842,0.8978457261987491,0.8460887540081622,0.8467133285462815
85,SVM (Linear),0.9251323377477223,0.9255874673629243,0.9254210164107204,0.9251108833111736,0.9253705923451833,0.9255874673629243,0.8883396202288856,0.8883964416826988
86,SVM (Linear),0.9051856329336229,0.905921052631579,0.9060879867892383,0.9047774183364624,0.9074958336448365,0.905921052631579,0.8588835334690655,0.8594878557039152
87,SVM (Linear),0.889537569269066,0.8901023890784983,0.891432678493168,0.8925218568737286,0.8965893103914946,0.8901023890784983,0.8346995942916292,0.8366816820377784
88,SVM (Linear),0.9441094675451961,0.9443699731903485,0.9445423412028903,0.944700673376042,0.9451248992930411,0.9443699731903485,0.916472579201513,0.9166662935258003
89,SVM (Linear),0.8977559611698368,0.8978457261987491,0.8984297606287889,0.9000990446928459,0.9004341057585842,0.8978457261987491,0.8460887540081622,0.8467133285462815
90,SVM (Linear),0.9251323377477223,0.9255874673629243,0.9254210164107204,0.9251108833111736,0.9253705923451833,0.9255874673629243,0.8883396202288856,0.8883964416826988
91,SVM (Linear),0.9252595653181048,0.925343811394892,0.9251000538195285,0.924255985225741,0.9266971267868965,0.925343811394892,0.8880103859208498,0.8889110924504829
92,SVM (Linear),0.8922071512937539,0.8913934426229508,0.8917849898726704,0.8929884404651623,0.8924477863152802,0.8913934426229508,0.8368993099737106,0.8370337771292456
93,SVM (Linear),0.9420901037472168,0.9427994616419919,0.9432891608833495,0.9432699291986055,0.9461684149729098,0.9427994616419919,0.9141007165867701,0.9153058575035874
94,SVM (Linear),0.8977559611698368,0.8978457261987491,0.8984297606287889,0.9000990446928459,0.9004341057585842,0.8978457261987491,0.8460887540081622,0.8467133285462815
95,SVM (Linear),0.9251323377477223,0.9255874673629243,0.9254210164107204,0.9251108833111736,0.9253705923451833,0.9255874673629243,0.8883396202288856,0.8883964416826988
96,SVM (Linear),0.9252595653181048,0.925343811394892,0.9251000538195285,0.924255985225741,0.9266971267868965,0.925343811394892,0.8880103859208498,0.8889110924504829
97,SVM (Linear),0.8805721408774184,0.8799725651577504,0.8808305000871165,0.8820647423782179,0.8825579155633911,0.8799725651577504,0.8197134493130881,0.8201319188482951
98,SVM (Linear),0.9381014725237727,0.9378342245989305,0.9380780436577824,0.9385572253934616,0.9386152248311748,0.9378342245989305,0.9066821829694045,0.9068300533027548
99,SVM (Linear),0.9182062763675044,0.9177700348432056,0.9182891509044958,0.92020134679939,0.9200744287658561,0.9177700348432056,0.8761553978049819,0.8766940294887593
100,SVM (RBF),0.6910320278012585,0.6906005221932114,0.6963340351201456,0.6956861285533346,0.7269502351737327,0.6906005221932114,0.5365646323625142,0.5473036437415332
101,SVM (RBF),0.6965292358805778,0.6973684210526315,0.6940530446090717,0.6920371791339534,0.6988014351295702,0.6973684210526315,0.5464434864173058,0.5499089938431981
102,SVM (RBF),0.6821182605222703,0.6832764505119454,0.6885294406727501,0.6902634799705046,0.709875804224564,0.6832764505119454,0.5223912476804962,0.5293468496136396
103,SVM (RBF),0.6451080416947219,0.6454423592493298,0.6386093503474771,0.6395854126445908,0.6433082290217003,0.6454423592493298,0.4669816417604028,0.4716000341536523
104,SVM (RBF),0.66149914344942,0.6657400972897846,0.6704633618364725,0.6727396314254529,0.7048818926412775,0.6657400972897846,0.4924407916398096,0.5023260148477692
105,SVM (RBF),0.6910320278012585,0.6906005221932114,0.6963340351201456,0.6956861285533346,0.7269502351737327,0.6906005221932114,0.5365646323625142,0.5473036437415332
106,SVM (RBF),0.6965292358805778,0.6973684210526315,0.6940530446090717,0.6920371791339534,0.6988014351295702,0.6973684210526315,0.5464434864173058,0.5499089938431981
107,SVM (RBF),0.6794198010972874,0.6805460750853243,0.6858916263769551,0.6876454316820584,0.7072778891635687,0.6805460750853243,0.5182739308501557,0.5251747110055001
