,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,missing_count,missing_pct
S2_NDBI_contrast,6520.0,193.36188882108314,120.56626616314308,26.45902933820678,117.92487036192055,160.39526111760685,226.11752814616966,1099.9768471212963,2.061012516937445,5.482247452598037,1950,23.02
S2_NDBI_entropy,6520.0,5.208244568388111,2.179138785500721,0.7996191084425032,4.61938408367809,5.778161215657091,6.659646333425057,9.609251876427678,-0.8624207672784383,-0.2945284218594142,1950,23.02
S2_NDBI_homogeneity,6520.0,0.6807962559329377,0.16090750787987343,0.35448192786674193,0.5739678139788957,0.6378195914053679,0.7255261194127107,0.9960173483520156,0.84365119747779,-0.27584235788174016,1950,23.02
osm_built_area,8470.0,2362162.3611573465,4230596.060772039,33112.38789735181,262048.60917808322,652769.6108706616,1656411.5315206766,19100354.5001787,2.636553433129334,6.185763668162732,0,0.0
osm_building_count,8470.0,17205.055253837072,34606.99259754268,73.0,1294.0,3803.0,9837.0,156551.0,2.770097902820631,6.872273753821785,0,0.0
osm_built_ratio,8470.0,0.006519306711567913,0.008115269743604454,0.00013427226667320634,0.0015925105588734426,0.0036834311854498695,0.0076341927972575704,0.045149565187019416,2.6432906305070536,8.303168189086264,0,0.0
elevation_mean,8470.0,217.0582581131925,156.0314372905403,-3.1474831906495675,93.67469904360918,205.5198730724093,351.79626178676017,638.8372141741775,0.5749860801102747,-0.47267212391574276,0,0.0
elevation_std,8470.0,152.992687398915,88.34860384276544,1.8937386697977765,87.57980240693156,144.59158170985202,221.6381555394544,331.4979950168995,-0.07200578574435726,-0.9382874365642659,0,0.0
slope_mean,6776.0,0.09230891871200302,0.10251724146806275,0.0107391448691487,0.0107391448691487,0.0230752228340158,0.1950593369498379,0.2582422792911529,0.8029172111375419,-1.1260270544827842,1694,20.0
slope_std,6776.0,0.014470738323967077,0.03186006368508953,0.0,0.0,2.0620151480396096e-08,0.0017911525473962282,0.1233593760156509,2.3848343525518216,4.72929251729558,1694,20.0
aspect_sin_mean,6776.0,-0.5979162411107206,0.25417974249131353,-0.8674519768894725,-0.7745628482226968,-0.6190061055665267,-0.6190061055665267,0.0,1.295382578808038,0.9569518171153284,1694,20.0
aspect_cos_mean,6776.0,0.7343303597465601,0.15789895008009422,0.4975209219626307,0.6051481980013748,0.7853861733385443,0.7853861733385443,1.0,-0.20265331121421803,-0.7986140886113144,1694,20.0
