unit_id,month,feature,value,lower_bound,upper_bound,bound_exceeded
mura:Akita:05434,2019-03,B2,6679.5151,-888.0414,2885.6246,upper
mura:Akita:05463,2019-03,B2,5898.7061,-888.0414,2885.6246,upper
mura:Akita:05464,2019-03,B2,6680.0,-888.0414,2885.6246,upper
mura:Akita:05201,2019-12,B2,4336.636,-888.0414,2885.6246,upper
mura:Akita:05203,2019-12,B2,6043.132,-888.0414,2885.6246,upper
mura:Akita:05204,2019-12,B2,4676.1287,-888.0414,2885.6246,upper
mura:Akita:05207,2019-12,B2,6122.8841,-888.0414,2885.6246,upper
mura:Akita:05209,2019-12,B2,3497.3316,-888.0414,2885.6246,upper
mura:Akita:05210,2019-12,B2,4248.5229,-888.0414,2885.6246,upper
mura:Akita:05211,2019-12,B2,2921.1382,-888.0414,2885.6246,upper
mura:Akita:05212,2019-12,B2,5700.5398,-888.0414,2885.6246,upper
mura:Akita:05213,2019-12,B2,5307.7584,-888.0414,2885.6246,upper
mura:Akita:05214,2019-12,B2,3146.9453,-888.0414,2885.6246,upper
mura:Akita:05215,2019-12,B2,5891.0298,-888.0414,2885.6246,upper
mura:Akita:05327,2019-12,B2,4525.4653,-888.0414,2885.6246,upper
mura:Akita:05361,2019-12,B2,3756.7468,-888.0414,2885.6246,upper
mura:Akita:05366,2019-12,B2,3362.2002,-888.0414,2885.6246,upper
mura:Akita:05434,2019-12,B2,6253.4497,-888.0414,2885.6246,upper
mura:Akita:05463,2019-12,B2,5367.3554,-888.0414,2885.6246,upper
mura:Akita:05464,2019-12,B2,6254.0,-888.0414,2885.6246,upper
mura:Akita:05201,2020-01,B2,5206.7352,-888.0414,2885.6246,upper
mura:Akita:05202,2020-01,B2,4231.226,-888.0414,2885.6246,upper
mura:Akita:05203,2020-01,B2,7022.9277,-888.0414,2885.6246,upper
mura:Akita:05204,2020-01,B2,5719.4915,-888.0414,2885.6246,upper
mura:Akita:05207,2020-01,B2,7113.7252,-888.0414,2885.6246,upper
mura:Akita:05209,2020-01,B2,5109.1353,-888.0414,2885.6246,upper
mura:Akita:05210,2020-01,B2,4981.9365,-888.0414,2885.6246,upper
mura:Akita:05211,2020-01,B2,3995.1692,-888.0414,2885.6246,upper
mura:Akita:05212,2020-01,B2,6592.7916,-888.0414,2885.6246,upper
mura:Akita:05213,2020-01,B2,5993.7947,-888.0414,2885.6246,upper
mura:Akita:05214,2020-01,B2,3725.6324,-888.0414,2885.6246,upper
mura:Akita:05215,2020-01,B2,6614.4655,-888.0414,2885.6246,upper
mura:Akita:05303,2020-01,B2,4907.7396,-888.0414,2885.6246,upper
mura:Akita:05327,2020-01,B2,5502.0901,-888.0414,2885.6246,upper
mura:Akita:05346,2020-01,B2,4681.6769,-888.0414,2885.6246,upper
mura:Akita:05348,2020-01,B2,4165.9942,-888.0414,2885.6246,upper
mura:Akita:05349,2020-01,B2,3731.9791,-888.0414,2885.6246,upper
mura:Akita:05361,2020-01,B2,4868.8364,-888.0414,2885.6246,upper
mura:Akita:05363,2020-01,B2,4096.8622,-888.0414,2885.6246,upper
mura:Akita:05366,2020-01,B2,4467.6631,-888.0414,2885.6246,upper
mura:Akita:05368,2020-01,B2,3609.613,-888.0414,2885.6246,upper
mura:Akita:05434,2020-01,B2,7262.3735,-888.0414,2885.6246,upper
mura:Akita:05463,2020-01,B2,6253.5592,-888.0414,2885.6246,upper
mura:Akita:05464,2020-01,B2,7263.0,-888.0414,2885.6246,upper
mura:Aomori:02201,2020-01,B2,3652.6397,-888.0414,2885.6246,upper
mura:Aomori:02202,2020-01,B2,4704.8791,-888.0414,2885.6246,upper
mura:Aomori:02204,2020-01,B2,4487.6365,-888.0414,2885.6246,upper
mura:Aomori:02205,2020-01,B2,3490.3774,-888.0414,2885.6246,upper
mura:Aomori:02206,2020-01,B2,3487.2233,-888.0414,2885.6246,upper
mura:Aomori:02209,2020-01,B2,3422.7319,-888.0414,2885.6246,upper
mura:Aomori:02210,2020-01,B2,4891.5071,-888.0414,2885.6246,upper
mura:Aomori:02304,2020-01,B2,3049.5071,-888.0414,2885.6246,upper
mura:Aomori:02321,2020-01,B2,3662.7815,-888.0414,2885.6246,upper
mura:Aomori:02323,2020-01,B2,3097.8722,-888.0414,2885.6246,upper
mura:Aomori:02343,2020-01,B2,4385.1455,-888.0414,2885.6246,upper
mura:Aomori:02361,2020-01,B2,4787.3302,-888.0414,2885.6246,upper
mura:Aomori:02362,2020-01,B2,5536.3797,-888.0414,2885.6246,upper
mura:Aomori:02367,2020-01,B2,4902.5378,-888.0414,2885.6246,upper
mura:Aomori:02381,2020-01,B2,4568.614,-888.0414,2885.6246,upper
mura:Aomori:02384,2020-01,B2,4170.3555,-888.0414,2885.6246,upper
mura:Aomori:02402,2020-01,B2,2927.6551,-888.0414,2885.6246,upper
mura:Aomori:02441,2020-01,B2,3420.6417,-888.0414,2885.6246,upper
mura:Aomori:02443,2020-01,B2,4053.9865,-888.0414,2885.6246,upper
