,B2,B3,B4,B8,B11,NDVI,NDBI,MNDWI,viirs_mean,viirs_mean_x,viirs_mean_y,S2_NDBI_contrast,S2_NDBI_entropy,S2_NDBI_homogeneity,osm_built_area,osm_building_count,osm_built_ratio,elevation_mean,elevation_std,slope_mean,slope_std,aspect_sin_mean,aspect_cos_mean,tri_mean,dw_water_frac,dw_trees_frac,dw_grass_frac,dw_flooded_vegetation_frac,dw_crops_frac,dw_shrub_and_scrub_frac,dw_built_frac,dw_bare_frac,dw_snow_and_ice_frac,pop_total,pop_male,pop_female,households_total,age_u15,age_15_64,age_65_plus,age_75_plus,year,month_num
viirs_mean_y,0.45640197807496186,0.44863169884006904,0.4970815391550764,-0.030630009490095013,0.3166105513070238,-0.38753513918332644,0.4560772583453857,0.2108367765855963,1.0,1.0,1.0,0.3572696179640464,-0.24087614116246958,0.2458263322371382,0.5603123946750531,0.4952535313789273,0.8805609908477521,-0.5366230718125536,-0.506176929289718,-0.397897118947713,-0.019398703398933913,-0.39789711894777363,-0.39789711894935254,-0.5277107589510921,0.31127480055982204,-0.5219770198898576,0.42787191024681176,-0.01028112082611208,0.0026384120887469795,0.7181409653049564,0.9416254559996778,0.6393285125000723,-0.2608551717510599,0.45510460381403006,0.4726526860061626,0.4394253491004624,0.4628786318682102,0.5197443834133173,0.473868712636268,0.42813035384199755,0.4221137104198829,0.035066363765224005,
S2_NDBI_contrast,-0.24451836086241246,-0.2420289777939976,-0.23859239879059346,-0.2278041837819614,-0.06967903640111729,0.06723290878107126,0.19101161987398627,-0.16366207395992607,0.08389788733322641,0.3572696179640464,0.3572696179640464,1.0,-0.07563570821692032,0.03182974906447245,-0.24449733599083384,-0.2325753786838908,0.17681066600094303,-0.4282933290146852,-0.5308781015157824,-0.005757131530020025,-0.13187945249109503,0.005740941541564718,0.006687961007201968,-0.5029307493582058,0.09580774104535214,-0.5023769085080975,0.4661501849771962,0.48957172284969713,0.5289119808835437,-0.010761733515569359,0.5448834480955501,0.21300620505950327,-0.21189447145524976,-0.21050986936695965,-0.20971541495894877,-0.2111605175173483,-0.2061909033301148,-0.1898659488307239,-0.20155398788562387,-0.23521723988476553,-0.24316758711691772,-0.12105098241599191,0.06540081662179209
S2_NDBI_entropy,0.08437546834360744,0.1064223472088944,0.11317501916928019,0.19835673952818647,0.2850787039679034,0.25639946325191665,-0.023464792567680665,-0.22927414191959702,0.001340879869640538,-0.24087614116246958,-0.24087614116246958,-0.07563570821692032,1.0,-0.994310910938184,0.042594210654176866,0.041588302105387796,0.029427293978749672,0.04382534983074396,0.037346582801606756,0.01181791680456609,0.060563652286981906,-0.08820298848321219,-0.06607244435446438,-0.04432803548577251,0.026892574918980526,-0.06925984295497092,0.06266921141383247,0.02104517425483802,0.05224812461586084,-0.02010801643763885,0.011042623320060457,0.06246225869447742,0.08330584030344226,0.037043163202120984,0.037784640247086866,0.036376608406007795,0.034773862262206114,0.03899601130221679,0.03664753530124516,0.035057124557985146,0.03311314581316784,0.5898416717485327,0.02234233834480322
S2_NDBI_homogeneity,-0.05594981747588871,-0.07823159121828477,-0.0835124372489342,-0.1798077927598963,-0.2789159947403294,-0.27563642486769446,0.014667430637164055,0.2460245765516179,0.0036122960767024153,0.2458263322371382,0.2458263322371382,0.03182974906447245,-0.994310910938184,1.0,-0.01283625027101614,-0.01390021048825756,-0.027298040680861085,-0.02029721043937434,-0.0004632118029706764,-0.010590094779485464,-0.062113756824573596,0.0801887656350958,0.059995258705923094,0.06425747579767155,-0.02235581057574037,0.09129727194098765,-0.08296069348817936,-0.050537536157791704,-0.08453485002579653,0.02504043287295782,-0.03435169998623699,-0.06989554915787985,-0.06608112017543047,-0.0067559912115112706,-0.007448789192775933,-0.006140269748445709,-0.005084126041667293,-0.009964049375912535,-0.0070363563679872254,-0.003075599082681913,-0.000768568957038704,-0.5901853163300526,-0.04801189805983443
osm_built_area,0.07293692665254135,0.08416201823129187,0.08644144095964283,0.12171221126982854,0.14325020945862008,0.08270652974449169,-0.04050426689546179,-0.055347954395513495,0.26120742753067044,0.5603123946750531,0.5603123946750531,-0.24449733599083384,0.042594210654176866,-0.01283625027101614,1.0,0.9940653527884205,0.6566663007292978,0.02304984591040887,0.2241746043793687,0.10678912884311276,-0.010378540976168029,-0.1843293790067621,-0.17728969096269565,0.05861408438561717,0.08021391587146574,0.014982183216010496,-0.15411609412636545,-0.06570713030051509,-0.12475185456228319,-0.08869981236976482,0.11968023976245855,-0.019162591330416142,0.04988271417116673,0.8170645347900222,0.8187579409118833,0.8153564733175681,0.8138784827930051,0.8069863911250073,0.8071017667509677,0.8377013959239898,0.8446193254703627,-0.00017632092707296524,-0.00016148994616709737
osm_building_count,0.06590431576501113,0.07619085067543815,0.0778476910499615,0.11431084833694105,0.13026492551910712,0.0836733843892397,-0.04414375749472082,-0.05266555761218192,0.2399747036381551,0.4952535313789273,0.4952535313789273,-0.2325753786838908,0.041588302105387796,-0.01390021048825756,0.9940653527884205,1.0,0.6456158058075787,0.03582038986344729,0.22677773088873843,0.07301281920491311,-0.019535280975692976,-0.14752617036205384,-0.1359405454405821,0.08339444680932762,0.059508102054453844,0.03943150558383672,-0.18447645674994548,-0.07698633617057343,-0.13950567101574596,-0.10127847953275271,0.10227165573287363,-0.05123762678928719,0.0494777710975816,0.78797610931854,0.7893010814501588,0.7866019630163308,0.7857125880872216,0.77660148181878,0.7773302187664508,0.807547865496595,0.813668919768219,-0.00016409099575854865,-0.00015028871791532728
osm_built_ratio,0.043364466374298805,0.04834595303938296,0.05262575175481273,0.03968987469740635,0.0859989281291453,-0.010828119597914632,0.033334677343704364,-0.020618181106593254,0.47087133448124985,0.8805609908477521,0.8805609908477521,0.17681066600094303,0.029427293978749672,-0.027298040680861085,0.6566663007292978,0.6456158058075787,1.0,-0.28457538918629327,-0.1595436482893953,0.29703390795109413,-0.055387800402637986,-0.24922012639897553,-0.31263756096453826,-0.26037270221903863,0.2565610303141619,-0.27173912258703353,0.06811017056480637,0.23941963397991234,0.12922700571458412,-0.08235968641582019,0.4649650157965627,0.20027670020178784,-0.1443286316664164,0.5309332205634789,0.5353309548637686,0.5269009174910851,0.5313329669858546,0.5481869744871775,0.532892075832926,0.5288694667184145,0.5268783555647418,-0.00015533796306975192,-0.00014227193396711962
elevation_mean,0.11146899186950085,0.1320191915316953,0.13296786302348856,0.23014589421070217,0.23821662738278498,0.21266422735546991,-0.12682818574038265,-0.12353511506916932,-0.3272958378326259,-0.5366230718125536,-0.5366230718125536,-0.4282933290146852,0.04382534983074396,-0.02029721043937434,0.02304984591040887,0.03582038986344729,-0.28457538918629327,1.0,0.8634951766234009,-0.0027963090256917945,0.08212393438383767,-0.09579712516903209,-0.06429771001784179,0.8164000947160419,-0.36909722790461846,0.5582774204820105,-0.6476291999718017,-0.6703132410438468,-0.6458762782895728,-0.12504248724933,-0.6136248786597307,-0.3532732840842161,0.73554507714951,-0.02461552988336958,-0.026458724479605445,-0.02297568923708274,-0.02834522229795955,-0.03939289514562326,-0.030495401385192925,-0.011620946165578322,-0.0076275362262288975,-1.1062876136195832e-05,-1.0132338239984692e-05
elevation_std,0.09814092523894068,0.11442502015473575,0.11555621586896243,0.18594782031713034,0.1789294168871407,0.14475041293919155,-0.09336536355462713,-0.07443178032069703,-0.3119432429126005,-0.506176929289718,-0.506176929289718,-0.5308781015157824,0.037346582801606756,-0.0004632118029706764,0.2241746043793687,0.22677773088873843,-0.1595436482893953,0.8634951766234009,1.0,0.1206647280256419,0.007275401844139953,-0.1589890884647641,-0.16657073826018468,0.7642830825656882,-0.3362372483800726,0.596432686286784,-0.6562126787351688,-0.6483140370563001,-0.6698136906535054,-0.15067420008382731,-0.5995566570407224,-0.41020208171287736,0.5996734174310218,0.2409949605938185,0.23759137189550333,0.243950394309141,0.2339166078085318,0.21512277163387977,0.23084824748874705,0.26263045461198514,0.2678372710968643,-0.00011625254244754184,-0.00010647412722338063
slope_mean,0.16911847512475117,0.18739506629389188,0.20137476122955708,0.15007973874293315,0.2198132463176132,-0.10895697916988814,0.10074001415555213,0.02672612821677542,-0.018483180362910193,-0.397897118947713,-0.397897118947713,-0.005757131530020025,0.01181791680456609,-0.010590094779485464,0.10678912884311276,0.07301281920491311,0.29703390795109413,-0.0027963090256917945,0.1206647280256419,1.0,0.13617524382116866,-0.4620547403595244,-0.7943231042741512,0.023370021401509348,0.027797429083833085,0.021074294203359694,-0.11990444148373429,0.0752802817374198,0.006108391196013118,-0.3114715494159178,0.0020503097424590016,-0.09900364232694576,-0.035278096578292596,0.12457760002188453,0.13004656048752322,0.11974139558107359,0.11213633569216795,0.12472952375427937,0.11951165909585443,0.14422727857112902,0.14865683224920376,0.00026062666389543317,0.00023870442732889946
