,unit_id,pref_name,NDBI_slope,viirs_mean_slope,S2_NDBI_contrast_slope,NDVI_cv,NDVI_seasonal_amp,NDBI_seasonal_amp,S2_NDBI_contrast_mean,S2_NDBI_entropy_mean,elderly_ratio,aging_index,household_size,pop_total
63,aza:Akita:05201011004,Akita,0.35435111804499725,-2.089637282129326,1.809586116796164,-0.0226061186632597,-0.8422402651586081,-0.3886019286095014,1.7470196174013135,-0.08293422458710499,-0.044279139062937074,-0.004480879268520433,-0.8389383141893823,0.2926372854216747
64,aza:Akita:05201011005,Akita,0.3492057102354477,-2.2142963391135284,1.967593311633371,-0.022941885294253297,-0.8346409552005928,-0.38841795346804686,2.313630020418313,-0.5666088339305212,-1.6047334209299957,-0.6114704648893197,-0.8648114336828617,0.2319351054235024
65,aza:Akita:05201012001,Akita,0.3583230117927197,-1.948224498817128,1.086596132186138,-0.022268620560802935,-0.8546920007426813,-0.4038435614822937,1.0686916212915571,0.4718150573417671,-1.0211359481212205,-0.5792143264067803,-0.43622277616681004,1.7553640596172781
66,aza:Akita:05201012002,Akita,0.3631163653837211,-1.7992258958141143,1.1287724574817246,-0.021852500818200327,-0.8696486044180108,-0.42225522756168354,0.29090057438716044,0.27796495839785423,-1.1684658814757296,-0.18572565669676216,1.0966918464163444,1.0034402462979617
67,aza:Akita:05201012003,Akita,0.35546144288811055,-2.11298054419742,1.0468040055164756,-0.0224342411141038,-0.853064441523966,-0.4099005892163284,1.6784070133215814,0.031756666782798176,-0.37066189214477824,-0.30510194049279754,-0.43837050322917454,0.7371339001572608
68,aza:Akita:05201012004,Akita,0.3595506880420157,-2.1197121925130724,1.4312341881668746,-0.022081541448735906,-0.8658126470028982,-0.4254323367352603,1.1401336271166302,0.5819127022245854,-0.9452585721477295,-0.5404967664142172,-0.3546166051826028,1.0132309208390005
69,aza:Akita:05201012005,Akita,0.3648946905389513,-1.9450268162750084,1.7307383744968983,-0.021638713872913988,-0.8799040426177213,-0.43990268920734016,0.8973906894231415,-0.2631874785840868,-1.4561540814485003,-0.6325923920473202,-0.586026738766715,0.2945954202643558
70,aza:Akita:05201012006,Akita,0.36389269007077585,-1.767065969558733,1.6364600547555443,-0.02164338086328178,-0.8838670585592023,-0.4524271507601918,0.5162297091679018,0.12388912081711365,-2.1615981737351904,-0.7502529254526749,-0.6894478844946829,0.30830236416997525
71,aza:Akita:05201012007,Akita,0.35925279601093646,-2.2292720127330825,1.8331014753336377,-0.022060853903931442,-0.8690375134102407,-0.43393057307705407,1.2570448643389187,-1.0785946744295418,-1.4979946887629472,-0.6450979139995966,-0.5821963259619756,0.36313013990917276
72,aza:Akita:05201013001,Akita,0.36097695897869786,-1.3121639143990507,1.6068206441594963,-0.02212759035770409,-0.8548553617051545,-0.39518965386696187,0.18615106978650572,0.2786357315577072,-0.13316457826354294,-0.3899249178098473,0.22772318152906496,-0.52390490660763
73,aza:Akita:05201013002,Akita,0.36117555366608395,-1.3563878519891892,1.7437723554424636,-0.02219973744716454,-0.8468385737319295,-0.37577320047655205,0.5493496357647141,-0.06887494365041337,-0.2600823850834257,-0.22426027881068827,-0.5505565508202431,1.5889225891717174
74,aza:Akita:05201013004,Akita,0.36787361084974324,-0.3113963867199419,1.5681634907099584,-0.021690420176655994,-0.8605548441736661,-0.3846464630682337,-0.12944788191167758,0.6032836097804942,-0.44378341016828077,-0.17072376805396733,-0.4561846846082098,1.7612384644689372
75,aza:Akita:05201013006,Akita,0.3751764791268056,-1.2642495376100866,1.7312155273884946,-0.021098811399046333,-0.8771632086917811,-0.39829600337074805,-0.23189460515352306,0.08089546772671889,-0.5057867743308304,-0.30724095470340135,-0.49220125381313873,2.23706526002283
76,aza:Akita:05201013007,Akita,0.37578129022020873,-1.3897193842358635,0.7506597020485616,-0.021122441871585438,-0.8712096091705334,-0.38202127931902,0.052569595030370654,0.44977961652385506,-0.06974758958504836,-0.3131960323786579,-0.3846773266700688,0.9074916359783375
